Date,Close
1/4/2010 16:00,11.58
1/5/2010 16:00,11.53
1/6/2010 16:00,11.49
1/7/2010 16:00,11.11
1/8/2010 16:00,11.1
1/11/2010 16:00,11.04
1/12/2010 16:00,10.7
1/13/2010 16:00,10.98
1/14/2010 16:00,10.87
1/15/2010 16:00,10.6
1/19/2010 16:00,10.96
1/20/2010 16:00,10.8
1/21/2010 16:00,10.59
1/22/2010 16:00,10.09
1/25/2010 16:00,10.15
1/26/2010 16:00,10
1/27/2010 16:00,9.99
1/28/2010 16:00,10.05
1/29/2010 16:00,10.16
2/1/2010 16:00,10.08
2/2/2010 16:00,9.96
2/3/2010 16:00,10.06
2/4/2010 16:00,9.68
2/5/2010 16:00,9.56
2/8/2010 16:00,9.61
2/9/2010 16:00,9.6
2/10/2010 16:00,9.7
2/11/2010 16:00,9.89
2/12/2010 16:00,9.71
2/16/2010 16:00,9.91
2/17/2010 16:00,10.02
2/18/2010 16:00,10.06
2/19/2010 16:00,10.02
2/22/2010 16:00,10
2/23/2010 16:00,9.85
2/24/2010 16:00,9.82
2/25/2010 16:00,9.75
2/26/2010 16:00,9.75
3/1/2010 16:00,9.95
3/2/2010 16:00,9.95
3/3/2010 16:00,9.86
3/4/2010 16:00,9.87
3/5/2010 16:00,10.13
3/8/2010 16:00,10.23
3/9/2010 16:00,10.25
3/10/2010 16:00,10.34
3/11/2010 16:00,10.5
3/12/2010 16:00,10.33
3/15/2010 16:00,10.14
3/16/2010 16:00,10.29
3/17/2010 16:00,10.42
3/18/2010 16:00,10.34
3/19/2010 16:00,10.09
3/22/2010 16:00,10.18
3/23/2010 16:00,10.27
3/24/2010 16:00,10.33
3/25/2010 16:00,10.42
3/26/2010 16:00,10.36
3/29/2010 16:00,10.54
3/30/2010 16:00,10.55
3/31/2010 16:00,10.49
4/1/2010 16:00,10.6
4/5/2010 16:00,10.73
4/6/2010 16:00,10.83
4/7/2010 16:00,10.85
4/8/2010 16:00,10.62
4/9/2010 16:00,10.62
4/12/2010 16:00,10.59
4/13/2010 16:00,10.67
4/14/2010 16:00,11.25
4/15/2010 16:00,11.13
4/16/2010 16:00,10.85
4/19/2010 16:00,10.84
4/20/2010 16:00,10.9
4/21/2010 16:00,10.84
4/22/2010 16:00,10.97
4/23/2010 16:00,10.96
4/26/2010 16:00,10.99
4/27/2010 16:00,10.6
4/28/2010 16:00,10.5
4/29/2010 16:00,10.56
4/30/2010 16:00,10.59
5/3/2010 16:00,10.66
5/4/2010 16:00,10.09
5/5/2010 16:00,9.96
5/6/2010 16:00,9.77
5/7/2010 16:00,9.89
5/10/2010 16:00,10.3
5/11/2010 16:00,10.17
5/12/2010 16:00,10.23
5/13/2010 16:00,10.25
5/14/2010 16:00,9.87
5/17/2010 16:00,9.97
5/18/2010 16:00,9.73
5/19/2010 16:00,9.82
5/20/2010 16:00,9.63
5/21/2010 16:00,9.79
5/24/2010 16:00,9.6
5/25/2010 16:00,9.57
5/26/2010 16:00,9.46
5/27/2010 16:00,9.89
5/28/2010 16:00,9.75
6/1/2010 16:00,9.85
6/2/2010 16:00,10.08
6/3/2010 16:00,9.91
6/4/2010 16:00,9.62
6/7/2010 16:00,9.43
